STATION,NAME,DATE,AWND,PRCP,TAVG
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",11/03/2017,11.63,0.02,49
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",12/03/2017,19.69,0,47
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",13/03/2017,8.05,0,37
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",14/03/2017,8.95,1.11,43
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",15/03/2017,20.13,0,45
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",16/03/2017,8.72,0,41
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",17/03/2017,18.34,0.02,47
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",18/03/2017,18.79,0,35
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",19/03/2017,11.86,0,35
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",20/03/2017,10.29,0.33,35
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",21/03/2017,9.17,0.02,35
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",22/03/2017,17.22,0,41
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",23/03/2017,15.43,0,32
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",24/03/2017,8.5,0,34
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",25/03/2017,5.59,0.12,37
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",26/03/2017,9.4,0.25,45
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",27/03/2017,10.96,0.23,45
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",28/03/2017,17.45,0,39
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",29/03/2017,13.65,0,34
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",30/03/2017,14.99,0,42
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",31/03/2017,11.86,0.03,44
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",01/04/2017,11.41,0,42
